player,archetype,PC1,PC2,archetype_name
Jonás Ramalho,1,-3.406177523656816,-0.38642236413265624,Center Back
Juanpe,3,-1.2122258439959626,0.9436390946368456,Ball-Playing Defender
Marc Muniesa,1,-3.630609820355762,-0.6914934600319305,Center Back
Pablo Maffeo,3,-0.4868049175254214,2.780638861824974,Ball-Playing Defender
Pedro Alcalá,1,-2.6345423029274904,-3.133491855985415,Center Back
Pere Pons,3,-1.8837470404275478,3.157797839489969,Ball-Playing Defender
Portu,6,7.131378245843895,0.6886514740336946,Attacking Midfielder
Álex Granell,0,3.506874205924347,7.078476460537343,Central Midfielder
Adrián López,6,6.133489975494521,-1.6497879522792351,Attacking Midfielder
Celso Borges,5,0.042074145326383997,1.7750053909235726,Wide Midfielder
Emre Çolak,5,0.34764764123682296,0.88823707550234,Wide Midfielder
Fabian Schär,3,-2.14893157862416,1.2963293910445217,Ball-Playing Defender
Federico Cartabia,5,0.6876690562199145,-0.15052115733389584,Wide Midfielder
Federico Valverde,1,-2.6409636122372486,-1.3835644974440269,Center Back
Florin Andone,6,4.84522510169928,-5.489328201533683,Attacking Midfielder
Guilherme,3,-2.1795305645155616,4.303629816571046,Ball-Playing Defender
Juanfran,0,0.3199096999492777,4.326986583777527,Central Midfielder
Lucas Pérez,2,9.357897795907638,0.5699910595485138,Complete Forward
Luisinho,3,-1.1522890388234972,4.450732449076845,Ball-Playing Defender
Michael Krohn-Dehli,1,-4.082736151739847,-1.590053230220646,Center Back
Pedro Mosquera,3,-2.477163389562694,0.7661984983852989,Ball-Playing Defender
Raúl Albentosa,1,-3.397727599032535,-1.6886032830441111,Center Back
Sidnei,1,-3.1773217537995997,0.1859508977862676,Center Back
Zakaria Bakkali,1,-1.6990221301387127,-2.6978631290167128,Center Back
Alberto Aquilani,1,-3.266733790841803,0.010558281826925671,Center Back
Alen Halilović,4,1.2138793691768475,-2.3625832459363894,Poacher
Dani Castellano,3,-2.617189892333189,0.9276111056406952,Ball-Playing Defender
David García,1,-3.295212139724356,-2.3843111797544614,Center Back
David Simón,1,-3.277861563748225,-1.7535292889560268,Center Back
Gabriel Peñalba,1,-4.469477224134924,-1.8262206426436414,Center Back
Hernán Toledo,4,-1.9552159898559816,-4.188652774678891,Poacher
Jairo Samperio,4,-2.6527063178834105,-4.849632895376325,Poacher
Javi Castellano,1,-4.309622408137524,0.6733016540903684,Center Back
Jonathan Calleri,6,6.999265447740651,-2.642588250688388,Attacking Midfielder
Jonathan Viera,0,5.069079417430313,2.9056911156769876,Central Midfielder
Loïc Rémy,4,1.8205815370113048,-5.385066812578255,Poacher
Matías Aguirregaray,1,-2.9696362086681702,-0.731506247485226,Center Back
Mauricio Lemos,1,-4.15745342520872,-0.5138666216921196,Center Back
Michel,3,-1.9808135682796466,1.5801509883086502,Ball-Playing Defender
Momo,1,-2.539019246226667,-2.0159473842495528,Center Back
Nacho Gil,1,-2.714957288153839,-2.9301488899931027,Center Back
Oghenekaro Etebo,1,-2.76400934302612,0.1933274785850478,Center Back
Oussama Tannane,1,-1.69616695399877,-3.2370358360192624,Center Back
Pedro Bigas,1,-4.393825665382816,-1.2337739831978,Center Back
Tana,3,-1.3214457877294472,0.3556900706684528,Ball-Playing Defender
Vicente Gómez,1,-3.8546071045504005,-0.4729835317384849,Center Back
Vitolo,1,-1.8998453167584484,-2.467729763718327,Center Back
Ximo Navarro,3,-3.4803633692212905,3.2058445678217677,Ball-Playing Defender
Álex Gálvez,3,-3.7044333500501443,0.949990364901305,Ball-Playing Defender
Alexander,4,0.662702152015856,-2.8201681014244486,Poacher
Claudio Beauvue,4,0.01721760183858162,-4.434540363006693,Poacher
Darko Brašanac,1,-1.6290001821354254,-1.6283492611000434,Center Back
Diego Rico,0,0.6944520727951924,3.270416011857181,Central Midfielder
Dimitris Siovas,3,-2.8308707590193194,0.7683406967856459,Ball-Playing Defender
Ezequiel Muñoz,1,-3.53356615549583,-1.6995531002927766,Center Back
Gabriel,5,2.00382895589721,1.9367765367114338,Wide Midfielder
Gerard Gumbau,1,-2.7469053556079985,-0.7374688846410713,Center Back
Javier Eraso,5,1.6353620171756449,-0.6002832179447883,Wide Midfielder
Joseba Zaldúa,3,-0.9846418770661441,3.385547539423201,Ball-Playing Defender
Martín Mantovani,1,-3.3168261427478254,-2.38375382521345,Center Back
Mauro dos Santos,1,-3.515181093680312,-2.4255416319748977,Center Back
Miguel Ángel Guerrero,4,1.0366531125652596,-3.105294455031181,Poacher
Nabil El Zhar,5,1.572662000637392,-0.5881348885113793,Wide Midfielder
Naranjo,4,-2.129266863480054,-3.8691700649056298,Poacher
Nordin Amrabat,6,3.433584380180111,-1.7267658244805388,Attacking Midfielder
Omar Ramos,1,-1.7121791190381348,-1.184423596391681,Center Back
Raúl García,1,-1.739405316061906,-1.1226540188804852,Center Back
Rubén Pérez,3,-2.7296788268569374,5.7093136022686775,Ball-Playing Defender
