player,archetype,PC1,PC2,Performance_Gls_norm,Performance_TklW_norm,Total_Cmp%_norm,Progression_PrgC_norm,Creativity_Score_norm,archetype_name
Aaron Ramsey,6,5.890574386927115,1.5389965848271825,1.11328379830634,0.226521448773432,0.8574576234109704,0.7704045361993863,1.107880680676414,Attacking Midfielder
Ainsley Maitland-Niles,1,-3.4885693882584854,-0.6062747197853253,-0.6507024470554711,-0.4119929993237894,0.7807883116290172,-0.464940522628046,0.2867957632966955,Center Back
Alex Iwobi,5,3.3466479770882227,0.9779428925169719,0.1052916580995907,-0.5396958889432337,1.0746873401265,1.758680583261332,0.9300624499058028,Wide Midfielder
Alexandre Lacazette,6,8.372148382889144,-2.9789937683515677,2.87727004366815,-0.4119929993237894,-0.2159127415363603,0.0909647538442985,1.4320724358138637,Attacking Midfielder
Alexis Sánchez,6,7.8830845189611525,-1.0349815599170495,1.11328379830634,-0.9228045578015668,-0.9314929848345797,0.4306846450218424,3.0381042730144308,Attacking Midfielder
Calum Chambers,1,-3.1034968789199104,-1.3652866109984307,-0.6507024470554711,-0.8589531129918445,0.7680100929986926,-0.7737767873349042,0.8540814061579223,Center Back
Danny Welbeck,4,1.9024947870686624,-3.6556570250416334,0.6092877282029653,-0.667398778562678,0.3591070968282808,-0.1869878843918737,0.0661886972078103,Poacher
Granit Xhaka,0,3.1126289605872874,9.75220501134336,-0.3987044120037838,2.1420647930650967,1.0363526842355244,0.9557062950235012,1.0196016990265322,Central Midfielder
Henrikh Mkhitaryan,4,2.2713198667652663,-2.5347356247167925,-0.1467063769520965,-0.667398778562678,-0.3692513651002649,-0.0634533785091305,-0.0583281392595596,Poacher
Hector Bellerin,0,1.1474209629780467,3.7597934160308393,-0.1467063769520965,1.2481445657289865,0.8830140606716197,1.48072794502516,0.8976122842083486,Central Midfielder
Jack Wilshere,5,-0.05141267270810608,0.9858043783362526,-0.3987044120037838,-0.8589531129918445,1.1385784332781268,0.8012881626700722,-0.0699856133649004,Wide Midfielder
Laurent Koscielny,3,-2.790700605294308,2.507014942019105,-0.1467063769520965,-0.1565872200849008,1.5219249921878877,-0.3414060167453028,0.4848316455839239,Ball-Playing Defender
